sex,geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
female,CH,202148,81,TRUE,5210,0.466,46.6,4400588,1.84,118.39,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-48,25,0.57,44.6,-2.5
unknown,CH,202148,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-48,0,NA,NA,0
male,CH,202149,92,TRUE,6204,0.484,48.4,4338203,2.12,143.01,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-49,-1,-0.02,-1.1,-5.000000000000007
female,CH,202149,98,TRUE,5308,0.516,51.6,4400588,2.23,120.62,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-49,17,0.39,21,5
unknown,CH,202149,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-49,0,NA,NA,0
male,CH,202150,104,TRUE,6308,0.562,56.2,4338203,2.4,145.41,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-50,12,0.28,13,7.800000000000004
female,CH,202150,81,TRUE,5389,0.438,43.8,4400588,1.84,122.46,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-50,-17,-0.39,-17.3,-7.800000000000004
unknown,CH,202150,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-50,0,NA,NA,0
male,CH,202151,72,TRUE,6380,0.493,49.3,4338203,1.66,147.07,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-51,-32,-0.74,-30.8,-6.900000000000006
female,CH,202151,74,TRUE,5463,0.507,50.7,4400588,1.68,124.14,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-51,-7,-0.16,-8.6,6.900000000000006
unknown,CH,202151,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-51,0,NA,NA,0
male,CH,202152,64,TRUE,6444,0.481,48.1,4338203,1.48,148.54,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-52,-8,-0.18,-11.1,-1.1999999999999957
female,CH,202152,69,TRUE,5532,0.519,51.9,4400588,1.57,125.71,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-52,-5,-0.11,-6.8,1.1999999999999957
unknown,CH,202152,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2021-52,0,NA,NA,0
male,CH,202201,46,TRUE,6490,0.451,45.1,4338203,1.06,149.6,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-01,-18,-0.42,-28.1,-3
female,CH,202201,56,TRUE,5588,0.549,54.900000000000006,4400588,1.27,126.98,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-01,-13,-0.3,-18.8,3.000000000000007
unknown,CH,202201,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-01,0,NA,NA,0
male,CH,202202,55,TRUE,6545,0.55,55.00000000000001,4338203,1.27,150.87,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-02,9,0.21,19.6,9.900000000000006
female,CH,202202,45,TRUE,5633,0.45,45,4400588,1.02,128.01,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-02,-11,-0.25,-19.6,-9.900000000000006
unknown,CH,202202,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-02,0,NA,NA,0
male,CH,202203,66,TRUE,6611,0.579,57.9,4338203,1.52,152.39,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-03,11,0.25,20,2.8999999999999915
female,CH,202203,48,TRUE,5681,0.421,42.1,4400588,1.09,129.1,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-03,3,0.07,6.7,-2.8999999999999986
unknown,CH,202203,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-03,0,NA,NA,0
male,CH,202204,61,TRUE,6672,0.587,58.699999999999996,4338203,1.41,153.8,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-04,-5,-0.11,-7.6,0.7999999999999972
female,CH,202204,43,TRUE,5724,0.413,41.3,4400588,0.98,130.07,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-04,-5,-0.11,-10.4,-0.8000000000000043
unknown,CH,202204,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-04,0,NA,NA,0
male,CH,202205,57,TRUE,6729,0.588,58.8,4338203,1.31,155.11,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-05,-4,-0.1,-6.6,0.10000000000000142
female,CH,202205,40,TRUE,5764,0.412,41.199999999999996,4400588,0.91,130.98,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-05,-3,-0.07,-7,-0.10000000000000142
unknown,CH,202205,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-05,0,NA,NA,0
male,CH,202206,64,TRUE,6793,0.634,63.4,4338203,1.48,156.59,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-06,7,0.17,12.3,4.600000000000001
female,CH,202206,37,TRUE,5801,0.366,36.6,4400588,0.84,131.82,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-06,-3,-0.07,-7.5,-4.599999999999994
unknown,CH,202206,0,TRUE,0,0,0,NA,NA,NA,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-06,0,NA,NA,0
male,CH,202207,42,TRUE,6835,0.575,57.49999999999999,4338203,0.97,157.55,COVID19Death,sex,2023-11-28_06-00-38,isoweek,2022-07,-22,-0.51,-34.4,-5.900000000000006
