date,geoRegion,ageRange,sex,cases,hosps,deaths
202009,BL,50 - 59,unknown,0,0,0
202009,BL,60 - 69,male,1,0,0
202009,BL,60 - 69,female,0,0,0
202009,BL,60 - 69,unknown,0,0,0
202009,BL,70 - 79,male,0,0,0
202009,BL,70 - 79,female,0,1,0
202009,BL,70 - 79,unknown,0,0,0
202009,BL,80+,male,0,0,0
202009,BL,80+,female,0,0,0
202009,BL,80+,unknown,0,0,0
202009,BL,unknown,male,0,0,0
202009,BL,unknown,female,0,0,0
202009,BL,unknown,unknown,0,0,0
202009,BS,0 - 9,male,0,0,0
202009,BS,0 - 9,female,0,0,0
202009,BS,0 - 9,unknown,0,0,0
202009,BS,10 - 19,male,0,0,0
202009,BS,10 - 19,female,0,0,0
202009,BS,10 - 19,unknown,0,0,0
202009,BS,20 - 29,male,0,0,0
202009,BS,20 - 29,female,2,0,0
202009,BS,20 - 29,unknown,0,0,0
202009,BS,30 - 39,male,0,0,0
202009,BS,30 - 39,female,0,0,0
202009,BS,30 - 39,unknown,0,0,0
202009,BS,40 - 49,male,0,0,0
202009,BS,40 - 49,female,0,0,0
202009,BS,40 - 49,unknown,0,0,0
202009,BS,50 - 59,male,1,0,0
202009,BS,50 - 59,female,1,0,0
202009,BS,50 - 59,unknown,0,0,0
202009,BS,60 - 69,male,0,0,0
202009,BS,60 - 69,female,0,1,0
202009,BS,60 - 69,unknown,0,0,0
202009,BS,70 - 79,male,0,0,0
202009,BS,70 - 79,female,0,1,0
202009,BS,70 - 79,unknown,0,0,0
202009,BS,80+,male,0,1,0
202009,BS,80+,female,0,0,0
202009,BS,80+,unknown,0,0,0
202009,BS,unknown,male,0,0,0
202009,BS,unknown,female,0,0,0
202009,BS,unknown,unknown,0,0,0
202009,FR,0 - 9,male,0,0,0
202009,FR,0 - 9,female,0,0,0
202009,FR,0 - 9,unknown,0,0,0
202009,FR,10 - 19,male,0,0,0
202009,FR,10 - 19,female,0,0,0
202009,FR,10 - 19,unknown,0,0,0
202009,FR,20 - 29,male,0,0,0
202009,FR,20 - 29,female,0,0,0
202009,FR,20 - 29,unknown,0,0,0
202009,FR,30 - 39,male,2,2,0
202009,FR,30 - 39,female,0,0,0
202009,FR,30 - 39,unknown,0,0,0
202009,FR,40 - 49,male,0,0,0
202009,FR,40 - 49,female,0,0,0
202009,FR,40 - 49,unknown,0,0,0
202009,FR,50 - 59,male,0,0,0
202009,FR,50 - 59,female,0,0,0
202009,FR,50 - 59,unknown,0,0,0
202009,FR,60 - 69,male,0,0,0
202009,FR,60 - 69,female,0,0,0
202009,FR,60 - 69,unknown,0,0,0
202009,FR,70 - 79,male,0,0,0
202009,FR,70 - 79,female,0,0,0
202009,FR,70 - 79,unknown,0,0,0
202009,FR,80+,male,0,1,0
202009,FR,80+,female,0,0,0
202009,FR,80+,unknown,0,0,0
202009,FR,unknown,male,0,0,0
202009,FR,unknown,female,0,0,0
202009,FR,unknown,unknown,0,0,0
202009,GE,0 - 9,male,0,0,0
202009,GE,0 - 9,female,0,0,0
202009,GE,0 - 9,unknown,0,0,0
202009,GE,10 - 19,male,0,0,0
202009,GE,10 - 19,female,0,0,0
202009,GE,10 - 19,unknown,0,0,0
202009,GE,20 - 29,male,2,0,0
202009,GE,20 - 29,female,2,0,0
202009,GE,20 - 29,unknown,0,0,0
202009,GE,30 - 39,male,3,0,0
202009,GE,30 - 39,female,1,0,0
202009,GE,30 - 39,unknown,0,0,0
202009,GE,40 - 49,male,1,0,0
202009,GE,40 - 49,female,0,0,0
202009,GE,40 - 49,unknown,0,0,0
202009,GE,50 - 59,male,1,0,0
202009,GE,50 - 59,female,0,0,0
202009,GE,50 - 59,unknown,0,0,0
202009,GE,60 - 69,male,0,0,0
202009,GE,60 - 69,female,0,0,0
202009,GE,60 - 69,unknown,0,0,0
202009,GE,70 - 79,male,0,3,0
202009,GE,70 - 79,female,0,0,0
202009,GE,70 - 79,unknown,0,0,0
202009,GE,80+,male,0,0,0
202009,GE,80+,female,0,0,0
202009,GE,80+,unknown,0,0,0
202009,GE,unknown,male,0,0,0
202009,GE,unknown,female,0,0,0
202009,GE,unknown,unknown,0,0,0
202009,GL,0 - 9,male,0,0,0
202009,GL,0 - 9,female,0,0,0
202009,GL,0 - 9,unknown,0,0,0
202009,GL,10 - 19,male,0,0,0
202009,GL,10 - 19,female,0,0,0
202009,GL,10 - 19,unknown,0,0,0
202009,GL,20 - 29,male,0,0,0
202009,GL,20 - 29,female,0,0,0
202009,GL,20 - 29,unknown,0,0,0
202009,GL,30 - 39,male,0,0,0
202009,GL,30 - 39,female,0,0,0
202009,GL,30 - 39,unknown,0,0,0
202009,GL,40 - 49,male,0,0,0
202009,GL,40 - 49,female,0,0,0
202009,GL,40 - 49,unknown,0,0,0
202009,GL,50 - 59,male,0,0,0
202009,GL,50 - 59,female,0,0,0
202009,GL,50 - 59,unknown,0,0,0
202009,GL,60 - 69,male,0,0,0
202009,GL,60 - 69,female,0,0,0
202009,GL,60 - 69,unknown,0,0,0
202009,GL,70 - 79,male,0,0,0
202009,GL,70 - 79,female,0,0,0
202009,GL,70 - 79,unknown,0,0,0
202009,GL,80+,male,0,0,0
202009,GL,80+,female,0,0,0
202009,GL,80+,unknown,0,0,0
202009,GL,unknown,male,0,0,0
202009,GL,unknown,female,0,0,0
202009,GL,unknown,unknown,0,0,0
202009,GR,0 - 9,male,2,2,0
202009,GR,0 - 9,female,0,0,0
202009,GR,0 - 9,unknown,0,0,0
202009,GR,10 - 19,male,0,0,0
202009,GR,10 - 19,female,0,0,0
202009,GR,10 - 19,unknown,0,0,0
202009,GR,20 - 29,male,0,0,0
202009,GR,20 - 29,female,0,0,0
202009,GR,20 - 29,unknown,0,0,0
202009,GR,30 - 39,male,0,0,0
202009,GR,30 - 39,female,1,1,0
202009,GR,30 - 39,unknown,0,0,0
202009,GR,40 - 49,male,3,0,0
202009,GR,40 - 49,female,1,0,0
202009,GR,40 - 49,unknown,0,0,0
202009,GR,50 - 59,male,0,1,0
202009,GR,50 - 59,female,1,1,0
202009,GR,50 - 59,unknown,0,0,0
202009,GR,60 - 69,male,1,0,0
202009,GR,60 - 69,female,0,0,0
202009,GR,60 - 69,unknown,0,0,0
202009,GR,70 - 79,male,0,0,0
202009,GR,70 - 79,female,0,0,0
202009,GR,70 - 79,unknown,0,0,0
202009,GR,80+,male,0,0,0
202009,GR,80+,female,0,0,0
202009,GR,80+,unknown,0,0,0
202009,GR,unknown,male,0,0,0
202009,GR,unknown,female,0,0,0
202009,GR,unknown,unknown,0,0,0
202009,JU,0 - 9,male,0,0,0
202009,JU,0 - 9,female,0,0,0
202009,JU,0 - 9,unknown,0,0,0
202009,JU,10 - 19,male,0,0,0
202009,JU,10 - 19,female,0,0,0
202009,JU,10 - 19,unknown,0,0,0
202009,JU,20 - 29,male,0,0,0
202009,JU,20 - 29,female,0,0,0
202009,JU,20 - 29,unknown,0,0,0
202009,JU,30 - 39,male,0,0,0
202009,JU,30 - 39,female,0,0,0
202009,JU,30 - 39,unknown,0,0,0
202009,JU,40 - 49,male,0,0,0
202009,JU,40 - 49,female,0,0,0
202009,JU,40 - 49,unknown,0,0,0
202009,JU,50 - 59,male,1,0,0
202009,JU,50 - 59,female,0,0,0
202009,JU,50 - 59,unknown,0,0,0
202009,JU,60 - 69,male,0,0,0
202009,JU,60 - 69,female,0,0,0
202009,JU,60 - 69,unknown,0,0,0
202009,JU,70 - 79,male,0,0,0
202009,JU,70 - 79,female,0,0,0
202009,JU,70 - 79,unknown,0,0,0
202009,JU,80+,male,0,0,0
202009,JU,80+,female,0,0,0
202009,JU,80+,unknown,0,0,0
202009,JU,unknown,male,0,0,0
202009,JU,unknown,female,0,0,0
202009,JU,unknown,unknown,0,0,0
202009,LU,0 - 9,male,0,0,0
202009,LU,0 - 9,female,0,0,0
202009,LU,0 - 9,unknown,0,0,0
202009,LU,10 - 19,male,0,0,0
202009,LU,10 - 19,female,0,0,0
202009,LU,10 - 19,unknown,0,0,0
202009,LU,20 - 29,male,0,0,0
202009,LU,20 - 29,female,0,0,0
202009,LU,20 - 29,unknown,0,0,0
202009,LU,30 - 39,male,0,0,0
202009,LU,30 - 39,female,0,0,0
202009,LU,30 - 39,unknown,0,0,0
202009,LU,40 - 49,male,0,0,0
202009,LU,40 - 49,female,0,0,0
202009,LU,40 - 49,unknown,0,0,0
202009,LU,50 - 59,male,0,0,0
202009,LU,50 - 59,female,0,0,0
202009,LU,50 - 59,unknown,0,0,0
202009,LU,60 - 69,male,0,0,0
202009,LU,60 - 69,female,0,0,0
202009,LU,60 - 69,unknown,0,0,0
202009,LU,70 - 79,male,0,0,0
202009,LU,70 - 79,female,0,0,0
202009,LU,70 - 79,unknown,0,0,0
202009,LU,80+,male,0,0,0
202009,LU,80+,female,0,0,0
202009,LU,80+,unknown,0,0,0
202009,LU,unknown,male,0,0,0
202009,LU,unknown,female,0,0,0
202009,LU,unknown,unknown,0,0,0
202009,NE,0 - 9,male,0,0,0
202009,NE,0 - 9,female,0,0,0
202009,NE,0 - 9,unknown,0,0,0
202009,NE,10 - 19,male,0,0,0
202009,NE,10 - 19,female,0,0,0
202009,NE,10 - 19,unknown,0,0,0
202009,NE,20 - 29,male,1,0,0
202009,NE,20 - 29,female,0,0,0
202009,NE,20 - 29,unknown,0,0,0
202009,NE,30 - 39,male,0,0,0
202009,NE,30 - 39,female,0,0,0
202009,NE,30 - 39,unknown,0,0,0
202009,NE,40 - 49,male,0,0,0
202009,NE,40 - 49,female,0,0,0
202009,NE,40 - 49,unknown,0,0,0
202009,NE,50 - 59,male,0,0,0
202009,NE,50 - 59,female,0,0,0
202009,NE,50 - 59,unknown,0,0,0
202009,NE,60 - 69,male,0,0,0
202009,NE,60 - 69,female,0,1,0
202009,NE,60 - 69,unknown,0,0,0
202009,NE,70 - 79,male,0,0,0
202009,NE,70 - 79,female,0,0,0
202009,NE,70 - 79,unknown,0,0,0
202009,NE,80+,male,0,0,0
202009,NE,80+,female,0,0,0
202009,NE,80+,unknown,0,0,0
202009,NE,unknown,male,0,0,0
202009,NE,unknown,female,0,0,0
202009,NE,unknown,unknown,0,0,0
202009,NW,0 - 9,male,0,0,0
202009,NW,0 - 9,female,0,0,0
202009,NW,0 - 9,unknown,0,0,0
202009,NW,10 - 19,male,0,0,0
202009,NW,10 - 19,female,0,0,0
202009,NW,10 - 19,unknown,0,0,0
202009,NW,20 - 29,male,0,0,0
202009,NW,20 - 29,female,0,0,0
202009,NW,20 - 29,unknown,0,0,0
202009,NW,30 - 39,male,0,0,0
202009,NW,30 - 39,female,0,0,0
202009,NW,30 - 39,unknown,0,0,0
202009,NW,40 - 49,male,0,0,0
202009,NW,40 - 49,female,0,0,0
202009,NW,40 - 49,unknown,0,0,0
202009,NW,50 - 59,male,0,0,0
202009,NW,50 - 59,female,0,0,0
202009,NW,50 - 59,unknown,0,0,0
202009,NW,60 - 69,male,0,0,0
202009,NW,60 - 69,female,0,0,0
202009,NW,60 - 69,unknown,0,0,0
202009,NW,70 - 79,male,0,0,0
202009,NW,70 - 79,female,0,0,0
202009,NW,70 - 79,unknown,0,0,0
202009,NW,80+,male,0,0,0
202009,NW,80+,female,0,0,0
202009,NW,80+,unknown,0,0,0
202009,NW,unknown,male,0,0,0
202009,NW,unknown,female,0,0,0
202009,NW,unknown,unknown,0,0,0
202009,OW,0 - 9,male,0,0,0
202009,OW,0 - 9,female,0,0,0
202009,OW,0 - 9,unknown,0,0,0
202009,OW,10 - 19,male,0,0,0
202009,OW,10 - 19,female,0,0,0
202009,OW,10 - 19,unknown,0,0,0
202009,OW,20 - 29,male,0,0,0
202009,OW,20 - 29,female,0,0,0
202009,OW,20 - 29,unknown,0,0,0
202009,OW,30 - 39,male,0,0,0
202009,OW,30 - 39,female,0,0,0
202009,OW,30 - 39,unknown,0,0,0
202009,OW,40 - 49,male,0,0,0
202009,OW,40 - 49,female,0,0,0
202009,OW,40 - 49,unknown,0,0,0
202009,OW,50 - 59,male,0,0,0
202009,OW,50 - 59,female,0,0,0
