sex,nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all
male,all,CH,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA,TRUE
female,all,CH,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA,TRUE
unknown,all,CH,202009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-09,NA,NA,NA,NA,TRUE
male,all,CH,202010,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-10,NA,NA,NA,NA,TRUE
female,all,CH,202010,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-10,NA,NA,NA,NA,TRUE
unknown,all,CH,202010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-10,NA,NA,NA,NA,TRUE
male,all,CH,202011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-11,NA,NA,NA,NA,TRUE
female,all,CH,202011,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-11,NA,NA,NA,NA,TRUE
unknown,all,CH,202011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-11,NA,NA,NA,NA,TRUE
male,all,CH,202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-12,NA,NA,NA,NA,TRUE
female,all,CH,202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-12,NA,NA,NA,NA,TRUE
unknown,all,CH,202012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-12,NA,NA,NA,NA,TRUE
male,all,CH,202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-13,NA,NA,NA,NA,TRUE
female,all,CH,202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-13,NA,NA,NA,NA,TRUE
unknown,all,CH,202013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-13,NA,NA,NA,NA,TRUE
male,all,CH,202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-14,NA,NA,NA,NA,TRUE
female,all,CH,202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-14,NA,NA,NA,NA,TRUE
unknown,all,CH,202014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-14,NA,NA,NA,NA,TRUE
male,all,CH,202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-15,NA,NA,NA,NA,TRUE
female,all,CH,202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-15,NA,NA,NA,NA,TRUE
unknown,all,CH,202015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-15,NA,NA,NA,NA,TRUE
male,all,CH,202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-16,NA,NA,NA,NA,TRUE
female,all,CH,202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-16,NA,NA,NA,NA,TRUE
unknown,all,CH,202016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-16,NA,NA,NA,NA,TRUE
male,all,CH,202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-17,NA,NA,NA,NA,TRUE
female,all,CH,202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-17,NA,NA,NA,NA,TRUE
unknown,all,CH,202017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-17,NA,NA,NA,NA,TRUE
male,all,CH,202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-18,NA,NA,NA,NA,TRUE
female,all,CH,202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-18,NA,NA,NA,NA,TRUE
unknown,all,CH,202018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-18,NA,NA,NA,NA,TRUE
male,all,CH,202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-19,NA,NA,NA,NA,TRUE
female,all,CH,202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-19,NA,NA,NA,NA,TRUE
unknown,all,CH,202019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-19,NA,NA,NA,NA,TRUE
male,all,CH,202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-20,NA,NA,NA,NA,TRUE
female,all,CH,202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-20,NA,NA,NA,NA,TRUE
unknown,all,CH,202020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-20,NA,NA,NA,NA,TRUE
male,all,CH,202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,4338203,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-21,NA,NA,NA,NA,TRUE
female,all,CH,202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400588,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-21,NA,NA,NA,NA,TRUE
unknown,all,CH,202021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-21,NA,NA,NA,NA,TRUE
male,all,CH,202022,12858,104,12754,12858,0.8,NA,0.8,0.488,48.8,4338203,296.39,296.39,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-22,12858,296.39,NA,NA,TRUE
female,all,CH,202022,13480,102,13378,13480,0.8,NA,0.8,0.512,51.2,4400588,306.32,306.32,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-22,13480,306.32,NA,NA,TRUE
unknown,all,CH,202022,7,0,7,7,0,NA,0,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-22,7,NA,NA,NA,TRUE
male,all,CH,202023,12325,82,12243,25183,0.7,-0.10000000000000009,0.7,0.48,48,4338203,284.1,580.49,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-23,-533,-12.29,-4.1,-0.7999999999999972,TRUE
female,all,CH,202023,13288,72,13216,26768,0.5,-0.30000000000000004,0.7,0.518,51.800000000000004,4400588,301.96,608.28,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-23,-192,-4.36,-1.4,0.6000000000000014,TRUE
unknown,all,CH,202023,40,0,40,47,0,0,0,0.002,0.2,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-23,33,NA,471.4,0.2,TRUE
male,all,CH,202024,16711,116,16595,41894,0.7,0,0.7,0.468,46.800000000000004,4338203,385.21,965.7,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-24,4386,101.11,35.6,-1.1999999999999957,TRUE
female,all,CH,202024,18846,105,18741,45614,0.6,0.09999999999999998,0.6,0.528,52.800000000000004,4400588,428.26,1036.54,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-24,5558,126.3,41.8,1,TRUE
unknown,all,CH,202024,161,0,161,208,0,0,0,0.005,0.5,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-24,121,NA,302.5,0.3,TRUE
male,all,CH,202025,21705,100,21605,63599,0.5,-0.19999999999999996,0.6,0.45,45,4338203,500.32,1466.02,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-25,4994,115.11,29.9,-1.8000000000000043,TRUE
female,all,CH,202025,26273,103,26170,71887,0.4,-0.19999999999999996,0.5,0.544,54.400000000000006,4400588,597.03,1633.58,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-25,7427,168.77,39.4,1.6000000000000014,TRUE
unknown,all,CH,202025,279,0,279,487,0,0,0,0.006,0.6,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-25,118,NA,73.3,0.09999999999999998,TRUE
male,all,CH,202026,28003,220,27783,91602,0.8,0.30000000000000004,0.7,0.489,48.9,4338203,645.5,2111.52,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-26,6298,145.18,29,3.8999999999999986,TRUE
female,all,CH,202026,29280,173,29107,101167,0.6,0.19999999999999996,0.5,0.511,51.1,4400588,665.37,2298.94,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-26,3007,68.34,11.4,-3.3000000000000043,TRUE
unknown,all,CH,202026,33,0,33,520,0,0,0,0.001,0.1,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-26,-246,NA,-88.2,-0.5,TRUE
male,all,CH,202027,37577,411,37166,129179,1.1,0.30000000000000004,0.8,0.538,53.800000000000004,4338203,866.19,2977.71,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-27,9574,220.69,34.2,4.900000000000006,TRUE
female,all,CH,202027,32307,340,31967,133474,1.1,0.5000000000000001,0.7,0.462,46.2,4400588,734.15,3033.09,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-27,3027,68.78,10.3,-4.899999999999999,TRUE
unknown,all,CH,202027,15,0,15,535,0,0,0,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-27,-18,NA,-54.5,-0.1,TRUE
male,all,CH,202028,23600,449,23151,152779,1.9,0.7999999999999998,1,0.477,47.699999999999996,4338203,544,3521.71,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-28,-13977,-322.19,-37.2,-6.1000000000000085,TRUE
female,all,CH,202028,25825,316,25509,159299,1.2,0.09999999999999987,0.8,0.522,52.2,4400588,586.85,3619.95,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-28,-6482,-147.3,-20.1,6,TRUE
unknown,all,CH,202028,9,1,8,544,11.1,11.1,0.2,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-28,-6,NA,-40,0,TRUE
male,all,CH,202029,20718,458,20260,173497,2.2,0.30000000000000027,1.1,0.487,48.699999999999996,4338203,477.57,3999.28,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-29,-2882,-66.43,-12.2,1,TRUE
female,all,CH,202029,21845,383,21462,181144,1.8,0.6000000000000001,0.9,0.513,51.300000000000004,4400588,496.41,4116.36,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-29,-3980,-90.44,-15.4,-0.8999999999999986,TRUE
unknown,all,CH,202029,6,0,6,550,0,-11.1,0.2,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-29,-3,NA,-33.3,0,TRUE
male,all,CH,202030,17290,466,16824,190787,2.7,0.5,1.3,0.487,48.699999999999996,4338203,398.55,4397.83,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-30,-3428,-79.02,-16.5,0,TRUE
female,all,CH,202030,18239,455,17784,199383,2.5,0.7,1,0.513,51.300000000000004,4400588,414.47,4530.83,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-30,-3606,-81.94,-16.5,0,TRUE
unknown,all,CH,202030,3,0,3,553,0,0,0.2,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-30,-3,NA,-50,0,TRUE
male,all,CH,202031,19120,711,18409,209907,3.7,1,1.5,0.512,51.2,4338203,440.74,4838.57,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-31,1830,42.19,10.6,2.500000000000007,TRUE
female,all,CH,202031,18233,600,17633,217616,3.3,0.7999999999999998,1.2,0.488,48.8,4400588,414.33,4945.16,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-31,-6,-0.14,-0,-2.500000000000007,TRUE
unknown,all,CH,202031,6,0,6,559,0,0,0.2,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-31,3,NA,100,0,TRUE
male,all,CH,202032,19487,651,18836,229394,3.3,-0.40000000000000036,1.6,0.504,50.4,4338203,449.2,5287.77,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-32,367,8.46,1.9,-0.8000000000000043,TRUE
female,all,CH,202032,19200,616,18584,236816,3.2,-0.09999999999999964,1.4,0.496,49.6,4400588,436.31,5381.46,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-32,967,21.98,5.3,0.8000000000000043,TRUE
unknown,all,CH,202032,2,0,2,561,0,0,0.2,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-32,-4,NA,-66.7,0,TRUE
male,all,CH,202033,21218,883,20335,250612,4.2,0.9000000000000004,1.9,0.509,50.9,4338203,489.1,5776.86,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-33,1731,39.9,8.9,0.5,TRUE
female,all,CH,202033,20462,809,19653,257278,4,0.7999999999999998,1.6,0.491,49.1,4400588,464.98,5846.45,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-33,1262,28.67,6.6,-0.5,TRUE
unknown,all,CH,202033,10,1,9,571,10,10,0.4,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-33,8,NA,400,0,TRUE
male,all,CH,202034,28882,1134,27748,279494,3.9,-0.30000000000000027,2.1,0.502,50.2,4338203,665.76,6442.62,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-34,7664,176.66,36.1,-0.6999999999999957,TRUE
female,all,CH,202034,28582,949,27633,285860,3.3,-0.7000000000000002,1.8,0.497,49.7,4400588,649.5,6495.95,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-34,8120,184.52,39.7,0.6000000000000014,TRUE
unknown,all,CH,202034,30,0,30,601,0,-10,0.3,0.001,0.1,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-34,20,NA,200,0.1,TRUE
male,all,CH,202035,35034,1193,33841,314528,3.4,-0.5,2.2,0.477,47.699999999999996,4338203,807.57,7250.19,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-35,6152,141.81,21.3,-2.500000000000007,TRUE
female,all,CH,202035,38326,1098,37228,324186,2.9,-0.3999999999999999,1.9,0.522,52.2,4400588,870.93,7366.88,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-35,9744,221.43,34.1,2.5,TRUE
unknown,all,CH,202035,22,2,20,623,9.1,9.1,0.6,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-35,-8,NA,-26.7,-0.1,TRUE
male,all,CH,202036,41389,1404,39985,355917,3.4,0,2.4,0.475,47.5,4338203,954.06,8204.25,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-36,6355,146.49,18.1,-0.19999999999999574,TRUE
female,all,CH,202036,45725,1299,44426,369911,2.8,-0.10000000000000009,2,0.525,52.5,4400588,1039.07,8405.94,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-36,7399,168.14,19.3,0.29999999999999716,TRUE
unknown,all,CH,202036,20,0,20,643,0,-9.1,0.6,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-36,-2,NA,-9.1,0,TRUE
male,all,CH,202037,42444,1605,40839,398361,3.8,0.3999999999999999,2.5,0.469,46.9,4338203,978.38,9182.63,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-37,1055,24.32,2.5,-0.6000000000000014,TRUE
female,all,CH,202037,48046,1630,46416,417957,3.4,0.6000000000000001,2.2,0.531,53.1,4400588,1091.81,9497.75,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-37,2321,52.74,5.1,0.6000000000000014,TRUE
unknown,all,CH,202037,34,1,33,677,2.9,2.9,0.7,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-37,14,NA,70,0,TRUE
male,all,CH,202038,40889,1658,39231,439250,4.1,0.2999999999999998,2.7,0.483,48.3,4338203,942.53,10125.16,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-38,-1555,-35.85,-3.7,1.3999999999999986,TRUE
female,all,CH,202038,43703,1546,42157,461660,3.5,0.10000000000000009,2.3,0.517,51.7,4400588,993.12,10490.87,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-38,-4343,-98.69,-9,-1.3999999999999986,TRUE
unknown,all,CH,202038,13,0,13,690,0,-2.9,0.7,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-38,-21,NA,-61.8,0,TRUE
male,all,CH,202039,33145,1250,31895,472395,3.8,-0.2999999999999998,2.7,0.487,48.699999999999996,4338203,764.03,10889.19,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-39,-7744,-178.5,-18.9,0.3999999999999986,TRUE
female,all,CH,202039,34833,1256,33577,496493,3.6,0.10000000000000009,2.4,0.512,51.2,4400588,791.55,11282.42,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-39,-8870,-201.57,-20.3,-0.5,TRUE
unknown,all,CH,202039,21,1,20,711,4.8,4.8,0.8,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-39,8,NA,61.5,0,TRUE
male,all,CH,202040,33685,1940,31745,506080,5.8,2,2.9,0.497,49.7,4338203,776.47,11665.66,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-40,540,12.44,1.6,1.000000000000007,TRUE
female,all,CH,202040,34065,1679,32386,530558,4.9,1.3000000000000003,2.6,0.503,50.3,4400588,774.1,12056.53,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-40,-768,-17.45,-2.2,-0.9000000000000057,TRUE
unknown,all,CH,202040,14,1,13,725,7.1,2.3,1,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-40,-7,NA,-33.3,0,TRUE
male,all,CH,202041,44744,4655,40089,550824,10.4,4.6000000000000005,3.5,0.501,50.1,4338203,1031.39,12697.05,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-41,11059,254.92,32.8,0.3999999999999986,TRUE
female,all,CH,202041,44583,4283,40300,575141,9.6,4.699999999999999,3.1,0.499,49.9,4400588,1013.11,13069.64,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-41,10518,239.01,30.9,-0.3999999999999986,TRUE
unknown,all,CH,202041,26,1,25,751,3.8,-3.3,1.1,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-41,12,NA,85.7,0,TRUE
male,all,CH,202042,62275,9850,52425,613099,15.8,5.4,4.8,0.492,49.2,4338203,1435.5,14132.56,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-42,17531,404.11,39.2,-0.8999999999999986,TRUE
female,all,CH,202042,64202,9577,54625,639343,14.9,5.300000000000001,4.3,0.508,50.8,4400588,1458.94,14528.58,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-42,19619,445.83,44,0.8999999999999986,TRUE
unknown,all,CH,202042,20,2,18,771,10,6.2,1.3,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-42,-6,NA,-23.1,0,TRUE
male,all,CH,202043,85573,19995,65578,698672,23.4,7.599999999999998,7.1,0.483,48.3,4338203,1972.54,16105.1,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-43,23298,537.04,37.4,-0.9000000000000057,TRUE
female,all,CH,202043,91567,19989,71578,730910,21.8,6.9,6.5,0.517,51.7,4400588,2080.79,16609.37,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-43,27365,621.85,42.6,0.9000000000000057,TRUE
unknown,all,CH,202043,25,2,23,796,8,-2,1.5,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-43,5,NA,25,0,TRUE
male,all,CH,202044,102882,27996,74886,801554,27.2,3.8000000000000007,9.6,0.473,47.3,4338203,2371.53,18476.64,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-44,17309,398.99,20.2,-1,TRUE
female,all,CH,202044,114375,29523,84852,845285,25.8,4,9.1,0.526,52.6,4400588,2599.08,19208.46,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-44,22808,518.29,24.9,0.8999999999999986,TRUE
unknown,all,CH,202044,27,9,18,823,33.3,25.299999999999997,2.6,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-44,2,NA,8,0,TRUE
male,all,CH,202045,96354,26204,70150,897908,27.2,0,11.5,0.466,46.6,4338203,2221.06,20697.69,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-45,-6528,-150.47,-6.3,-0.6999999999999957,TRUE
female,all,CH,202045,110429,28679,81750,955714,26,0.1999999999999993,11,0.534,53.400000000000006,4400588,2509.41,21717.87,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-45,-3946,-89.67,-3.5,0.8000000000000043,TRUE
unknown,all,CH,202045,36,9,27,859,25,-8.299999999999997,3.5,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-45,9,NA,33.3,0,TRUE
male,all,CH,202046,81878,20204,61674,979786,24.7,-2.5,12.6,0.455,45.5,4338203,1887.37,22585.07,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-46,-14476,-333.69,-15,-1.1000000000000014,TRUE
female,all,CH,202046,97944,22923,75021,1053658,23.4,-2.6000000000000014,12.2,0.544,54.400000000000006,4400588,2225.7,23943.57,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-46,-12485,-283.71,-11.3,1,TRUE
unknown,all,CH,202046,72,17,55,931,23.6,-1.3999999999999986,5,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-46,36,NA,100,0,TRUE
male,all,CH,202047,71646,15403,56243,1051432,21.5,-3.1999999999999993,13.2,0.454,45.4,4338203,1651.51,24236.58,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-47,-10232,-235.86,-12.5,-0.10000000000000142,TRUE
female,all,CH,202047,86195,17376,68819,1139853,20.2,-3.1999999999999993,12.8,0.546,54.6,4400588,1958.72,25902.29,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-47,-11749,-266.98,-12,0.19999999999999574,TRUE
unknown,all,CH,202047,34,3,31,965,8.8,-14.8,5.2,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-47,-38,NA,-52.8,0,TRUE
male,all,CH,202048,73038,13159,59879,1124470,18,-3.5,13.5,0.456,45.6,4338203,1683.6,25920.18,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-48,1392,32.09,1.9,0.20000000000000284,TRUE
female,all,CH,202048,86953,14982,71971,1226806,17.2,-3,13.1,0.543,54.300000000000004,4400588,1975.94,27878.23,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-48,758,17.22,0.9,-0.29999999999999716,TRUE
unknown,all,CH,202048,73,16,57,1038,21.9,13.099999999999998,6.4,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-48,39,NA,114.7,0,TRUE
male,all,CH,202049,73990,13475,60515,1198460,18.2,0.1999999999999993,13.8,0.45,45,4338203,1705.54,27625.72,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-49,952,21.94,1.3,-0.6000000000000014,TRUE
female,all,CH,202049,90222,15685,74537,1317028,17.4,0.1999999999999993,13.4,0.549,54.900000000000006,4400588,2050.23,29928.46,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-49,3269,74.29,3.8,0.6000000000000014,TRUE
unknown,all,CH,202049,41,4,37,1079,9.8,-12.099999999999998,6.5,0,0,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-49,-32,NA,-43.8,0,TRUE
male,all,CH,202050,94456,14902,79554,1292916,15.8,-2.3999999999999986,14,0.451,45.1,4338203,2177.31,29803.03,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-50,20466,471.77,27.7,0.10000000000000142,TRUE
female,all,CH,202050,115080,16984,98096,1432108,14.8,-2.599999999999998,13.5,0.549,54.900000000000006,4400588,2615.11,32543.56,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-50,24858,564.88,27.6,0,TRUE
unknown,all,CH,202050,106,8,98,1185,7.5,-2.3000000000000007,6.6,0.001,0.1,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-50,65,NA,158.5,0.1,TRUE
male,all,CH,202051,112094,14538,97556,1405010,13,-2.8000000000000007,13.9,0.462,46.2,4338203,2583.88,32386.91,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-51,17638,406.57,18.7,1.1000000000000014,TRUE
female,all,CH,202051,130188,16518,113670,1562296,12.7,-2.1000000000000014,13.4,0.537,53.7,4400588,2958.42,35501.98,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-51,15108,343.31,13.1,-1.2000000000000028,TRUE
unknown,all,CH,202051,133,8,125,1318,6,-1.5,6.5,0.001,0.1,NA,NA,NA,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-51,27,NA,25.5,0,TRUE
male,all,CH,202052,92760,11989,80771,1497770,12.9,-0.09999999999999964,13.8,0.452,45.2,4338203,2138.21,34525.12,COVID19Test,sex,2023-11-28_06-00-38,isoweek,2020-52,-19334,-445.67,-17.2,-1,TRUE
