"U_scaled","ymin","ymax"
0.99,3.04522670871286e-07,0.99999999996893
0.973687281756146,1.88585119039723e-09,0.999999999998623
0.902930579317623,5.25569357024502e-07,0.999999993925837
0.77481379170089,0.000122148884430814,0.99998968125294
0.656216436477058,0.00321880490725371,0.999114505042452
0.580806597225766,0.013377891844992,0.992986320760085
0.539960993219684,0.0205563756664458,0.984993990320767
0.519322577732277,0.0224846908117199,0.980674913050926
0.509238655889445,0.0228727811467154,0.978722269602592
0.504982759855512,0.0240409636791502,0.976876816183697
0.503618162420079,0.0269498500505758,0.973798906994905
0.504581061015337,0.0335083962774421,0.967658439971198
0.509391896771379,0.0489712766851166,0.95441214888517
0.517487594577227,0.0737348770881916,0.935271933884914
0.527353709439219,0.106659527874674,0.912486033160482
0.540580787982927,0.156137136856389,0.882115458053858
0.551238568839514,0.209471563491827,0.85061924868754
0.562404786141813,0.277274564971021,0.811513745489465
0.573375663202367,0.355988356034316,0.765682991267465
0.578842110097363,0.422604715374688,0.720739701710147
0.571597687615588,0.449885043176353,0.685223134973739
0.56200028769439,0.465252778790945,0.654251793591898
0.55092842317402,0.472476691048465,0.626925563570268
0.540568480513945,0.476476863353026,0.603345629577877
0.52598782800993,0.468326505168839,0.582964270475744
0.507806576301391,0.449939151217308,0.5654655725927
0.492920676401567,0.434765907403936,0.551267653868617
0.467512348294736,0.400780375406617,0.535427211519539
0.440108319206561,0.359214028646416,0.524313855575458
0.406653684070927,0.306494975679545,0.515226415482901
0.383534108302184,0.264828673910998,0.517960166377426
0.343366312812528,0.203244357441093,0.517363544901982
0.311391255286575,0.146619300215877,0.543420398296828
0.294633378259939,0.117674477084318,0.56676565485931
0.317443450568644,0.135095437188656,0.580675336461236
0.335931495023314,0.161951575371184,0.569747833172219
0.377590858830512,0.211163928402448,0.578922306118894
0.404267135831029,0.262371569083736,0.564204968760146
0.430269586718673,0.306744170547291,0.563131847841568
0.441024365145448,0.354097957046297,0.531723016790334
0.439116945980633,0.31195065023224,0.574814601863503
0.436981968158595,0.348893192850478,0.529233722425946
0.427390043211622,0.339414012263748,0.520211778665055
0.410455199021041,0.322152594637234,0.504932091792745
0.387943697113383,0.307643182424615,0.474829476566611
